"Horodateur","Sur dix cours magistraux prévus de 8h à 10h, vous estimez être présent(e) combien de fois?","Même question pour des cours de 10h à 12h","Même question de 14h à 16h","Même question de 16h à 18h","Dans quelle école ou partie de Rennes 1 étudiez-vous?","En quelle année êtes-vous?"
"2019/01/11 3:16:25 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:16:25 PM UTC+2","9","10","10","10","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:16:33 PM UTC+2","9","9","10","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:16:49 PM UTC+2","3","7","10","8","Science et Propriété de la Matière (SPM)","L3"
"2019/01/11 3:16:50 PM UTC+2","8","9","9","9","Informatique (ISTIC)","L2"
"2019/01/11 3:16:55 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","M2"
"2019/01/11 3:17:15 PM UTC+2","10","10","10","10","Mathématiques","Prépa agreg maths"
"2019/01/11 3:17:22 PM UTC+2","10","10","10","10","Mathématiques","M2"
"2019/01/11 3:17:28 PM UTC+2","9","10","10","9","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:17:33 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR)","L2"
"2019/01/11 3:17:33 PM UTC+2","9","10","10","9","Science de la vie et de l'environnement (SVE)","L3"
"2019/01/11 3:18:19 PM UTC+2","10","10","10","10","Informatique (ISTIC)","L1"
"2019/01/11 3:18:47 PM UTC+2","7","9","9","7","OSUR","M2"
"2019/01/11 3:18:47 PM UTC+2","4","8","10","7","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:18:51 PM UTC+2","5","10","10","10","Informatique (ISTIC)","M1"
"2019/01/11 3:19:07 PM UTC+2","5","10","10","6","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:19:14 PM UTC+2","4","4","4","2","Informatique (ISTIC)","M1"
"2019/01/11 3:19:27 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","L1"
"2019/01/11 3:19:31 PM UTC+2","10","10","10","10","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:19:37 PM UTC+2","8","8","8","8","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:20:03 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","M1"
"2019/01/11 3:20:16 PM UTC+2","7","9","9","7","Mathématiques","L3"
"2019/01/11 3:20:31 PM UTC+2","9","9","9","9","Science de la vie et de l'environnement (SVE)","M2"
"2019/01/11 3:20:32 PM UTC+2","10","10","10","10","Science et Propriété de la Matière (SPM)","L2"
"2019/01/11 3:20:33 PM UTC+2","10","10","10","10","École Supérieure d'Ingénieurs de Rennes (ESIR);Informatique (ISTIC)","L1"
"2019/01/11 3:20:41 PM UTC+2","10","10","10","9","Science de la vie et de l'environnement (SVE)","M1"
"2019/01/11 3:20:48 PM UTC+2","3","9","9","3","Informatique (ISTIC)","L3"
"2019/01/11 3:21:15 PM UTC+2","8","10","10","7","Informatique (ISTIC)","M2"
